INFO:root:Initialisation failed! Mission cancelled.
INFO:root:sl:0.0 sr:0.0 heading:-21, velocity:[None, None, None]
INFO:root:sl:0.0 sr:0.0 heading:-21, velocity:[None, None, None]
INFO:root:sl:0.0 sr:0.0 heading:-21, velocity:[None, None, None]
INFO:root:sl:0.0 sr:0.0 heading:-21, velocity:[None, None, None]
INFO:root:sl:0.0 sr:0.0 heading:-21, velocity:[None, None, None]
INFO:root:sl:0.0 sr:0.0 heading:-21, velocity:[None, None, None]
INFO:root:sl:0.0 sr:0.0 heading:-21, velocity:[None, None, None]
INFO:root:sl:0.0 sr:0.0 heading:-21, velocity:[None, None, None]
INFO:root:sl:0.0 sr:0.0 heading:-21, velocity:[None, None, None]
INFO:root:sl:0.0 sr:0.0 heading:-21, velocity:[None, None, None]
INFO:root:sl:0.0 sr:0.0 heading:-21, velocity:[None, None, None]
INFO:root:sl:0.0 sr:0.0 heading:-21, velocity:[None, None, None]
INFO:root:sl:0.0 sr:0.0 heading:-21, velocity:[None, None, None]
INFO:root:sl:0.0 sr:0.0 heading:-21, velocity:[None, None, None]
INFO:root:sl:0.0 sr:0.0 heading:-21, velocity:[None, None, None]
INFO:root:sl:0.0 sr:0.0 heading:-21, velocity:[None, None, None]
INFO:root:sl:0.0 sr:0.0 heading:-21, velocity:[None, None, None]
INFO:root:sl:0.0 sr:0.0 heading:-21, velocity:[None, None, None]
INFO:root:Angle:160.053403118 Distance:0.00618500702614
