INFO:root:sl:0.0 sr:0.0 heading:-131, velocity:[None, None, None]
INFO:root:sl:0.0 sr:0.0 heading:-131, velocity:[None, None, None]
INFO:root:sl:0.0 sr:0.0 heading:-131, velocity:[None, None, None]
INFO:root:sl:0.0 sr:0.0 heading:-131, velocity:[None, None, None]
INFO:root:sl:-0.0816093602673 sr:0.00604969444485 heading:-131, velocity:[None, None, None]
INFO:root:sl:0.062745663513 sr:-0.0100542640626 heading:-131, velocity:[None, None, None]
INFO:root:sl:0.0 sr:0.0 heading:-131, velocity:[None, None, None]
INFO:root:sl:0.137650624473 sr:-0.0643097464802 heading:-131, velocity:[None, None, None]
INFO:root:sl:0.139107662295 sr:0.0334386252184 heading:-131, velocity:[None, None, None]
INFO:root:sl:0.0532153526783 sr:0.0816955666382 heading:-131, velocity:[None, None, None]
INFO:root:sl:-0.159309282418 sr:-0.110590283364 heading:-131, velocity:[None, None, None]
INFO:root:sl:-0.0871999502038 sr:-0.116606983652 heading:-131, velocity:[None, None, None]
INFO:root:sl:0.15376142919 sr:-0.209599738852 heading:-131, velocity:[None, None, None]
INFO:root:sl:-0.0474603124411 sr:0.191545339558 heading:-131, velocity:[None, None, None]
INFO:root:sl:0.179517760944 sr:0.00306940429377 heading:-131, velocity:[None, None, None]
INFO:root:sl:-0.00313419468219 sr:-0.120760961157 heading:-131, velocity:[None, None, None]
INFO:root:sl:0.0781764864504 sr:-0.336127181452 heading:-131, velocity:[None, None, None]
INFO:root:sl:0.219974417569 sr:0.218253266349 heading:-131, velocity:[None, None, None]
INFO:root:sl:0.0131195410269 sr:0.00575360176571 heading:-131, velocity:[None, None, None]
INFO:root:Angle:156.147397781 Distance:2.83979570664
